Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-01,New York,USA,38,120.0,182.9,24.3,26.0,9.1,153.3,18.6,40,13.2
2024-01-01,Los Angeles,USA,280,38.4,46.9,41.8,34.7,3.78,190.7,-2.2,59,9.5
2024-01-01,Delhi,India,187,76.2,226.8,46.9,17.2,1.02,68.4,9.9,55,3.3
2024-01-01,Paris,France,170,217.6,278.0,21.7,45.2,1.77,125.2,37.4,67,1.4
2024-01-01,São Paulo,Brazil,123,46.7,104.5,6.4,19.7,1.08,49.9,7.1,10,5.3
2024-01-01,Cairo,Egypt,241,103.6,217.9,74.4,16.4,1.25,190.9,37.5,23,14.0
2024-01-02,New York,USA,32,69.7,179.1,28.1,43.2,8.04,114.3,38.2,73,1.7
2024-01-02,Los Angeles,USA,257,43.1,249.5,72.5,26.9,8.65,115.8,26.4,15,5.3
2024-01-02,Delhi,India,36,105.1,148.1,18.8,20.7,0.57,148.2,-0.3,88,4.7
2024-01-02,Paris,France,102,106.2,201.2,92.5,10.4,2.34,182.8,3.2,69,2.7
2024-01-02,São Paulo,Brazil,114,234.1,30.1,57.4,4.5,7.47,82.9,8.0,56,2.0
2024-01-02,Cairo,Egypt,271,123.8,155.5,46.3,35.2,1.16,34.6,-1.5,90,1.5
2024-01-03,New York,USA,251,99.0,102.8,85.5,34.2,2.28,160.9,-7.3,60,12.3
2024-01-03,Los Angeles,USA,291,225.9,97.7,74.0,48.9,0.66,16.9,21.5,65,3.3
2024-01-03,Delhi,India,37,103.1,252.0,89.2,42.1,8.81,52.7,9.9,68,8.2
2024-01-03,Paris,France,124,83.3,77.8,20.2,19.8,8.29,57.4,14.0,84,4.5
2024-01-03,São Paulo,Brazil,290,211.9,227.3,31.8,46.9,6.93,180.7,-9.9,37,7.7
2024-01-03,Cairo,Egypt,181,67.9,105.6,23.1,8.1,8.22,136.7,11.2,22,10.4
2024-01-04,New York,USA,171,246.7,190.0,89.8,27.3,1.26,163.8,-7.4,74,12.2
2024-01-04,Los Angeles,USA,187,42.4,122.9,10.6,5.4,8.08,37.4,21.6,47,5.1
2024-01-04,Delhi,India,89,155.9,214.6,85.6,17.9,6.42,166.2,-7.9,54,4.3
2024-01-04,Paris,France,297,105.1,29.3,85.8,12.6,4.45,168.0,20.8,37,6.0
2024-01-04,São Paulo,Brazil,81,43.3,101.2,24.8,47.8,1.28,155.5,39.6,80,6.8
2024-01-04,Cairo,Egypt,197,47.2,24.6,98.0,23.3,4.91,29.3,23.6,68,13.9
2024-01-05,New York,USA,169,246.2,98.8,26.2,37.0,2.39,78.6,6.0,88,14.2
2024-01-05,Los Angeles,USA,181,221.7,82.4,40.7,3.5,1.9,25.2,-7.7,27,6.4
2024-01-05,Delhi,India,56,29.9,154.9,26.5,35.5,1.54,188.3,-6.3,53,2.8
2024-01-05,Paris,France,35,249.2,179.8,36.8,40.0,1.36,76.6,8.6,25,12.0
2024-01-05,São Paulo,Brazil,183,188.4,278.6,61.8,13.5,3.99,68.8,28.8,63,4.7
2024-01-05,Cairo,Egypt,282,105.7,205.7,45.4,49.9,4.68,42.6,-9.9,90,6.5
2024-01-06,New York,USA,92,22.0,52.1,24.4,46.2,1.24,111.1,24.8,34,0.8
2024-01-06,Los Angeles,USA,235,6.8,76.6,15.3,49.5,8.92,88.7,6.7,72,14.3
2024-01-06,Delhi,India,92,32.8,81.5,57.5,27.3,6.86,178.0,35.7,86,7.3
2024-01-06,Paris,France,220,234.6,248.9,53.7,32.4,2.93,153.7,-1.2,16,4.3
2024-01-06,São Paulo,Brazil,228,114.8,65.4,97.7,10.3,6.55,146.8,-3.7,85,7.6
2024-01-06,Cairo,Egypt,170,78.5,255.2,53.7,43.8,8.04,144.4,13.1,25,11.9
2024-01-07,New York,USA,121,239.5,155.3,21.6,35.6,0.25,195.7,38.4,24,2.1
2024-01-07,Los Angeles,USA,93,14.2,163.8,77.2,11.5,2.62,143.3,35.5,21,8.4
2024-01-07,Delhi,India,278,213.9,254.0,31.5,20.9,9.09,68.2,-0.3,83,3.2
2024-01-07,Paris,France,94,238.5,276.4,77.5,7.5,7.43,92.4,21.2,36,12.5
2024-01-07,São Paulo,Brazil,159,158.5,52.6,37.1,34.3,5.23,69.1,0.5,53,1.9
2024-01-07,Cairo,Egypt,224,155.2,189.5,30.6,39.7,1.22,148.1,36.1,72,2.6
2024-01-08,New York,USA,273,100.6,61.2,88.6,7.0,7.13,18.4,25.3,16,4.0
2024-01-08,Los Angeles,USA,166,174.6,189.6,11.8,46.4,5.15,166.6,3.3,12,1.4
2024-01-08,Delhi,India,264,154.6,72.4,27.1,7.9,1.17,84.6,16.5,73,0.7
2024-01-08,Paris,France,173,119.0,269.8,14.7,16.0,7.99,14.8,35.9,26,1.0
2024-01-08,São Paulo,Brazil,89,184.4,25.6,99.1,14.7,6.49,161.1,14.6,67,3.0
